account_id,performance_date,origination_date,months_on_book,vintage,original_balance,current_balance,scheduled_payment,interest_rate,original_term,remaining_term,delinquency_bucket,status,terminal_event,default_flag,recovery_amount,loss_amount,exposure_at_default,delinquency_state,lgd_realised,workout_months,collections_referral_flag,marketing_segment_code
14,2015-01-01,2012-08-01,29,2012,22415.0,22415.0,678.7280877091263,0.05686481426521943,36,7,Current,Current,none,0,0.0,0.0,0.0,0,0.0,0.0,0,142
22,2015-01-01,2013-06-01,19,2013,33304.0,33304.0,1068.655480295486,0.09617495476975443,36,17,Current,Current,none,0,0.0,0.0,0.0,0,0.0,0.0,0,368
24,2015-01-01,2012-09-01,28,2012,39896.0,39896.0,886.1716867604291,0.11935848638032472,60,32,Current,Current,none,0,0.0,0.0,0.0,0,0.0,0.0,0,744
25,2015-01-01,2014-05-01,8,2014,37213.0,37213.0,808.8193933067081,0.10984835753694486,60,52,Current,Current,none,0,0.0,0.0,0.0,0,0.0,0.0,0,364
39,2015-01-01,2014-12-01,1,2014,33714.0,33714.0,589.2295334540858,0.0788531380834799,72,71,Current,Current,none,0,0.0,0.0,0.0,0,0.0,0.0,0,945
53,2015-01-01,2013-08-01,17,2013,22461.0,22461.0,685.0522010501991,0.06171336043764371,36,19,Current,Current,none,0,0.0,0.0,0.0,0,0.0,0.0,0,579
55,2015-01-01,2012-05-01,32,2012,13982.0,13982.0,489.52885943129263,0.15704588118925364,36,4,Current,Current,none,0,0.0,0.0,0.0,0,0.0,0.0,0,329
58,2015-01-01,2009-01-01,72,2009,18224.0,18224.0,373.3387352961078,0.13776217747681435,72,0,Current,Matured,matured,0,0.0,0.0,0.0,0,0.0,0.0,0,422
86,2015-01-01,2012-03-01,34,2012,16029.0,16029.0,404.64319315130115,0.09753660115873997,48,14,Current,Current,none,0,0.0,0.0,0.0,0,0.0,0.0,0,798
102,2015-01-01,2011-03-01,46,2011,7773.0,7773.0,139.66851462236372,0.08884805375506902,72,26,Current,Current,none,0,0.0,0.0,0.0,0,0.0,0.0,0,293
111,2015-01-01,2015-01-01,0,2015,16325.0,16325.0,398.6031414760286,0.08008114496871185,48,48,Current,Current,none,0,0.0,0.0,0.0,0,0.0,0.0,0,675
