account_id,performance_date,origination_date,months_on_book,vintage,original_balance,current_balance,scheduled_payment,interest_rate,original_term,remaining_term,delinquency_bucket,status,terminal_event,default_flag,recovery_amount,loss_amount,exposure_at_default,drawn_amount,committed_amount_t,delinquency_state,noi_current,dscr_reported,current_ltv,committed_amount,undrawn_amount,utilisation,lgd_realised,workout_months,watchlist_transfer_flag,appraiser_panel_code
0,2008-01-01,2003-04-01,57,2003,4309138.0,4.309138e+06,80798.70057495023,0.04736056410811513,60,3,Current,Current,none,0,0.0,0.0,0.0,4.309138e+06,4.309138e+06,0,797631.1,1.4558489,52.374527,4309138.0,0.0,1.0,0.0,0.0,0,697
11,2008-01-01,2007-03-01,10,2007,12475368.392085707,1.2475368e+07,245682.42113375943,0.06771139956507531,60,50,Current,Current,none,0,0.0,0.0,0.0,1.2475368e+07,1.5179465e+07,0,2.8910008e+06,1.6738298,75.63813,15179465.0,2704097.0,0.8218582143705329,0.0,0.0,0,705
14,2008-01-01,2003-11-01,50,2003,14469956.0,1.4469956e+07,173800.7411754434,0.07769193128299941,120,70,Current,Current,none,0,0.0,0.0,0.0,1.4469956e+07,1.4469956e+07,0,1.9943289e+06,1.8786988,49.10112,14469956.0,0.0,1.0,0.0,0.0,0,104
27,2008-01-01,2003-07-01,54,2003,29119945.0,2.9119944e+07,541092.8840292449,0.04364616231773962,60,6,Current,Current,none,0,0.0,0.0,0.0,2.9119944e+07,2.9119944e+07,0,5.0674095e+06,1.9774466,53.52022,29119945.0,1.0,0.9999999656592758,0.0,0.0,0,197
29,2008-01-01,2003-12-01,49,2003,4704528.926750113,4.704529e+06,66501.52734728513,0.05003683630130816,84,35,Current,Current,none,0,0.0,0.0,0.0,4.704529e+06,8.154396e+06,0,4.1300862e+06,1.490545,46.482395,8154396.0,3449867.0,0.5769316329498837,0.0,0.0,0,785
33,2008-01-01,2005-12-01,25,2005,8640893.0,8.640893e+06,125386.21119095625,0.05795661188699453,84,59,Current,Current,none,0,0.0,0.0,0.0,8.640893e+06,8.640893e+06,0,938684.9,2.056978,53.111046,8640893.0,0.0,1.0,0.0,0.0,0,580
34,2008-01-01,2007-08-01,5,2007,6758652.845546274,6.758653e+06,99323.43439601304,0.061815484151106874,84,79,Current,Current,none,0,0.0,0.0,0.0,6.758653e+06,1.0240637e+07,0,2.6357278e+06,1.4366417,51.86277,10240637.0,3481984.0,0.6599836514076224,0.0,0.0,0,889
37,2008-01-01,1998-12-01,109,1998,11701044.0,1.1701044e+07,128813.84695030857,0.05813745212324149,120,11,Current,Current,none,0,0.0,0.0,0.0,1.1701044e+07,1.1701044e+07,0,1.7180358e+06,1.5939891,51.310673,11701044.0,0.0,1.0,0.0,0.0,0,821
45,2008-01-01,1999-03-01,106,1999,12098903.663018608,1.2098904e+07,127057.54079051195,0.04784593145145561,120,14,Current,Current,none,0,0.0,0.0,0.0,1.2098904e+07,1.5543419e+07,0,2.5209162e+06,2.0729167,44.02734,15543419.0,3444515.0,0.7783939942685711,0.0,0.0,0,734
52,2008-01-01,2007-08-01,5,2007,19237326.196257118,1.9237326e+07,204854.09607692726,0.0508629524761097,120,115,Current,Current,none,0,0.0,0.0,0.0,1.9237326e+07,4.0119204e+07,0,4.8931525e+06,1.5118818,61.39714,40119203.0,20881877.0,0.4795041915463774,0.0,0.0,0,789
61,2008-01-01,2007-04-01,9,2007,8776171.52544193,8.776172e+06,171053.3664278043,0.06338645946366162,60,51,Current,Current,none,0,0.0,0.0,0.0,8.776172e+06,1.6223998e+07,0,5.203449e+06,1.9356738,49.243454,16223998.0,7447826.0,0.540937689957802,0.0,0.0,0,243
70,2008-01-01,2007-05-01,8,2007,5682560.0,5.68256e+06,64333.92312000208,0.06434092563904772,120,112,Current,Current,none,0,0.0,0.0,0.0,5.68256e+06,5.68256e+06,0,1.6165529e+06,1.4340564,56.193104,5682560.0,0.0,1.0,0.0,0.0,0,968
87,2008-01-01,2003-07-01,54,2003,10872410.0,1.087241e+07,168886.3703024221,0.0789404906147976,84,30,Current,Current,none,0,0.0,0.0,0.0,1.087241e+07,1.087241e+07,0,2.1017142e+06,1.6708523,53.192883,10872410.0,0.0,1.0,0.0,0.0,0,364
95,2008-01-01,2001-10-01,75,2001,13086097.0,1.3086097e+07,191916.83224101207,0.06119072325388541,84,9,Current,Current,none,0,0.0,0.0,0.0,1.3086097e+07,1.3086097e+07,0,2.1334252e+06,1.7736175,46.7279,13086097.0,0.0,1.0,0.0,0.0,0,932
103,2008-01-01,1998-04-01,117,1998,6243200.0,6.2432e+06,63433.18405199826,0.04075351505024452,120,3,Current,Current,none,0,0.0,0.0,0.0,6.2432e+06,6.2432e+06,0,2.900536e+06,2.4356709,35.598312,6243200.0,0.0,1.0,0.0,0.0,0,960
105,2008-01-01,2004-12-01,37,2004,16521000.0,1.6521e+07,179382.5172532864,0.05510534886680253,120,83,Current,Current,none,0,0.0,0.0,0.0,1.6521e+07,1.6521e+07,0,2.8797325e+06,1.4039218,55.893444,16521000.0,0.0,1.0,0.0,0.0,0,645
113,2008-01-01,2003-03-01,58,2003,4710914.5644461205,4.7109145e+06,63925.32447784096,0.03784039481801621,84,26,Current,Current,none,0,0.0,0.0,0.0,4.7109145e+06,6.493845e+06,0,1.3465159e+06,2.2573953,52.129025,6493845.0,1782930.5,0.7254430156555939,0.0,0.0,0,118
