account_id,performance_date,origination_date,months_on_book,vintage,original_balance,current_balance,scheduled_payment,interest_rate,original_term,remaining_term,delinquency_bucket,status,terminal_event,default_flag,recovery_amount,loss_amount,exposure_at_default,delinquency_state,current_ltv,property_value_current,cltv,lgd_realised,workout_months,foreclosure_referral_flag,appraisal_vendor_code
0,2015-01-01,2011-11-01,38,2011,250205.0,250205.0,1213.9071824839568,0.04133867010798048,360,322,Current,Current,none,0,0.0,0.0,0.0,0,53.35207,468969.6,53.452072,0.0,0.0,0,825
1,2015-01-01,2004-04-01,129,2004,187507.0,187507.0,765.9140045594571,0.02754361129380657,360,231,Current,Current,none,0,0.0,0.0,0.0,0,69.73515,268884.5,77.43515,0.0,0.0,0,849
2,2015-01-01,2013-05-01,20,2013,680813.0,680813.0,4096.390914793388,0.060332679039484194,360,340,Current,Current,none,0,0.0,0.0,0.0,0,64.416115,1.0568986e+06,78.81612,0.0,0.0,0,948
4,2015-01-01,2004-04-01,129,2004,174601.0,174601.0,720.9896130220817,0.028383406600773747,360,231,Current,Current,none,0,0.0,0.0,0.0,0,75.01145,232765.78,82.41145,0.0,0.0,0,600
5,2015-01-01,2009-11-01,62,2009,493671.0,493671.0,1775.7271600886772,0.018,360,298,Current,Paid off,payoff,0,0.0,0.0,0.0,0,64.25596,768288.25,65.455956,0.0,0.0,0,470
7,2015-01-01,2001-07-01,162,2001,421839.0,421839.0,3028.668813598319,0.035627485156459096,180,18,Current,Current,none,0,0.0,0.0,0.0,0,62.32617,676824.8,70.22617,0.0,0.0,0,535
8,2015-01-01,2005-08-01,113,2005,384547.0,384547.0,2786.8013966294843,0.03699046982151272,180,67,Current,Current,none,0,0.0,0.0,0.0,0,75.987144,506068.5,80.387146,0.0,0.0,0,272
9,2015-01-01,2003-11-01,134,2003,238256.0,238256.0,1707.8371440941196,0.03539169474820365,180,46,Current,Current,none,0,0.0,0.0,0.0,0,73.043526,326183.6,73.24352,0.0,0.0,0,295
11,2015-01-01,2010-06-01,55,2010,240939.0,240939.0,1344.3475626125382,0.05342740501907974,360,305,Current,Current,none,0,0.0,0.0,0.0,0,66.194435,363986.78,66.29443,0.0,0.0,0,934
13,2015-01-01,2014-05-01,8,2014,344680.0,344680.0,1334.7916267186333,0.023478389869784396,360,352,Current,Current,none,0,0.0,0.0,0.0,0,66.370026,519330.84,67.370026,0.0,0.0,0,364
15,2015-01-01,2009-02-01,71,2009,238097.0,238097.0,1127.435480446357,0.039322796706100525,360,289,Current,Current,none,0,0.0,0.0,0.0,0,68.64415,346856.94,70.14415,0.0,0.0,0,505
18,2015-01-01,2011-04-01,45,2011,407835.0,407835.0,1527.590982628238,0.02098429657930745,360,315,Current,Current,none,0,0.0,0.0,0.0,0,51.900898,785795.7,55.300896,0.0,0.0,0,713
20,2015-01-01,2004-01-01,132,2004,189475.0,189475.0,735.2194210270733,0.02362899849401198,360,228,Current,Current,none,0,0.0,0.0,0.0,0,50.95615,371839.3,51.15615,0.0,0.0,0,996
21,2015-01-01,2012-10-01,27,2012,284201.0,284201.0,1468.4351982494745,0.046675462671339686,360,333,Current,Current,none,0,0.0,0.0,0.0,0,80.62562,352494.66,80.62562,0.0,0.0,0,406
26,2015-01-01,2007-12-01,85,2007,257567.0,257567.0,1396.5230690991416,0.05087761097316578,360,275,Current,Current,none,0,0.0,0.0,0.0,0,78.41465,328467.97,80.41465,0.0,0.0,0,717
29,2015-01-01,2009-11-01,62,2009,472524.0,472524.0,1739.2481092951887,0.01969099316609779,360,298,Current,Current,none,0,0.0,0.0,0.0,0,49.12644,961852.75,52.62644,0.0,0.0,0,338
30,2015-01-01,2010-08-01,53,2010,939822.0,939822.0,3844.408062503608,0.02765394117528402,360,307,Current,Current,none,0,0.0,0.0,0.0,0,79.45392,1.1828516e+06,83.25392,0.0,0.0,0,278
32,2015-01-01,2013-05-01,20,2013,154536.0,154536.0,823.6797150635,0.04937392297541778,360,340,Current,Current,none,0,0.0,0.0,0.0,0,78.85421,195976.86,79.45421,0.0,0.0,0,916
34,2015-01-01,2012-12-01,25,2012,606112.0,606112.0,2535.841316396113,0.02940062339629203,360,335,Current,Current,none,0,0.0,0.0,0.0,0,41.972645,1.4440642e+06,49.172646,0.0,0.0,0,749
37,2015-01-01,2006-02-01,107,2006,140968.0,140968.0,739.6178585147686,0.04800089214330481,360,253,Current,Current,none,0,0.0,0.0,0.0,0,100.77818,139879.48,104.678185,0.0,0.0,0,151
39,2015-01-01,2005-10-01,111,2005,155474.0,155474.0,569.7023387333492,0.019360417749401344,360,249,Current,Current,none,0,0.0,0.0,0.0,0,55.59515,279653.88,55.59515,0.0,0.0,0,950
42,2015-01-01,2002-11-01,146,2002,589935.0,589935.0,3064.2604174034263,0.04713065326152462,360,214,Current,Current,none,0,0.0,0.0,0.0,0,66.4342,887999.0,66.4342,0.0,0.0,0,872
44,2015-01-01,2008-08-01,77,2008,706465.0,706465.0,4740.115949119678,0.025884857709722868,180,103,Current,Current,none,0,0.0,0.0,0.0,0,84.09915,840038.2,85.49915,0.0,0.0,0,753
46,2015-01-01,2014-07-01,6,2014,169414.0,169414.0,646.4074088398489,0.022364409584113894,360,354,Current,Current,none,0,0.0,0.0,0.0,0,79.02083,214391.58,79.12083,0.0,0.0,0,344
47,2015-01-01,2010-10-01,51,2010,226438.0,226438.0,1436.3879528823768,0.018,180,129,Current,Current,none,0,0.0,0.0,0.0,0,65.69475,344682.06,67.29475,0.0,0.0,0,669
51,2015-01-01,2001-09-01,160,2001,266733.0,266733.0,1911.1191188808934,0.035327406798053386,180,20,Current,Current,none,0,0.0,0.0,0.0,0,48.969997,544686.56,50.069996,0.0,0.0,0,209
52,2015-01-01,2004-06-01,127,2004,248658.0,248658.0,1170.0689159083527,0.03880530788530735,360,233,Current,Current,none,0,0.0,0.0,0.0,0,42.195663,589297.5,42.195663,0.0,0.0,0,534
54,2015-01-01,2006-12-01,97,2006,209451.0,209451.0,1328.6325312852377,0.018,180,83,Current,Current,none,0,0.0,0.0,0.0,0,82.88964,252686.58,83.28964,0.0,0.0,0,184
57,2015-01-01,2011-03-01,46,2011,325688.0,325688.0,1307.119685201528,0.026191020343200887,360,314,Current,Current,none,0,0.0,0.0,0.0,0,51.63708,630725.06,51.83708,0.0,0.0,0,337
58,2015-01-01,2000-10-01,171,2000,95867.0,95867.0,645.1375705771649,0.026305174324535965,180,9,Current,Current,none,0,0.0,0.0,0.0,0,46.142723,207761.9,46.942722,0.0,0.0,0,459
61,2015-01-01,2010-08-01,53,2010,249976.0,249976.0,1053.2161711573667,0.029948608206866505,360,307,Current,Current,none,0,0.0,0.0,0.0,0,64.0388,390350.84,64.1388,0.0,0.0,0,592
63,2015-01-01,2009-11-01,62,2009,279245.0,279245.0,1219.8458466833242,0.03279683702254539,360,298,Current,Current,none,0,0.0,0.0,0.0,0,61.319054,455396.8,61.819054,0.0,0.0,0,380
64,2015-01-01,2008-12-01,73,2008,440161.0,440161.0,2669.482409175295,0.06107489413392106,360,287,Current,Current,none,0,0.0,0.0,0.0,0,62.217503,707455.25,62.617504,0.0,0.0,0,430
66,2015-01-01,2004-11-01,122,2004,205165.0,205165.0,899.7487919237211,0.033107755946138545,360,238,Current,Current,none,0,0.0,0.0,0.0,0,81.38667,252086.73,90.68667,0.0,0.0,0,577
68,2015-01-01,2010-01-01,60,2010,144548.0,144548.0,591.9894950840345,0.027745980003202934,360,300,Current,Current,none,0,0.0,0.0,0.0,0,51.204212,282297.1,51.404213,0.0,0.0,0,722
69,2015-01-01,2007-05-01,92,2007,244467.0,244467.0,1158.2890953933916,0.03937198559034426,360,268,Current,Current,none,0,0.0,0.0,0.0,0,84.7973,288295.75,84.7973,0.0,0.0,0,415
71,2015-01-01,2006-01-01,108,2006,485007.0,485007.0,2024.8718109830565,0.02923572498267361,360,252,Current,Current,none,0,0.0,0.0,0.0,0,69.294014,699926.25,69.294014,0.0,0.0,0,500
72,2015-01-01,2012-09-01,28,2012,420123.0,420123.0,1636.5856080271099,0.02392396600144594,360,332,Current,Current,none,0,0.0,0.0,0.0,0,78.32581,536378.75,79.62581,0.0,0.0,0,922
73,2015-01-01,2012-10-01,27,2012,513133.0,513133.0,3432.169733187501,0.025440652563728943,180,153,Current,Current,none,0,0.0,0.0,0.0,0,59.668156,859978.0,63.068153,0.0,0.0,0,206
76,2015-01-01,2002-08-01,149,2002,427433.0,427433.0,1735.630149500487,0.027087396356726006,360,211,Current,Current,none,0,0.0,0.0,0.0,0,44.79601,954176.5,47.39601,0.0,0.0,0,601
80,2015-01-01,2003-02-01,143,2003,446187.0,446187.0,2112.049956688827,0.039294214787777205,360,217,Current,Current,none,0,0.0,0.0,0.0,0,47.24509,944409.25,48.04509,0.0,0.0,0,927
81,2015-01-01,2000-11-01,170,2000,401295.0,401295.0,2545.5767298418696,0.018,180,10,Current,Current,none,0,0.0,0.0,0.0,0,30.618565,1.3106264e+06,31.818565,0.0,0.0,0,798
83,2015-01-01,2008-04-01,81,2008,210218.0,210218.0,1874.90347718276,0.0687555650242305,180,99,Current,Current,none,0,0.0,0.0,0.0,0,80.92526,259768.08,86.92526,0.0,0.0,0,655
86,2015-01-01,2014-08-01,5,2014,118449.0,118449.0,487.1322517245039,0.028068569946877488,360,355,Current,Paid off,payoff,0,0.0,0.0,0.0,0,44.82258,264261.9,48.62258,0.0,0.0,0,449
